name,job_role,attendance,department,Post,Equity(in %),Experience(in years),nClients,test_scores(out of 100),skills,salary(in rs)
Janisha Bawa,Accountant,85,Finance and Accounting,Director/Head,1.53,14.0,18,85,"Communication and Presentation Skills} , {ERP (Enterprise Resource Planning) System Proficiency} , {Time Management and Organization} , {Problem Solving and Decision Making} , {Analytical and Critical Thinking} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Continuous Learning and Keeping up with Regulatory Changes} , {Auditing and Internal Controls} , {Cash Flow Management} , {Budgeting and Forecasting} , {Cost Accounting} , {Financial Modeling} , {Ethical Conduct and Professionalism} , {Teamwork and Collaboration} , {Financial Analysis and Reporting} , {Attention to Detail} , {Adaptability and Flexibility",207000
Dayanand Chakrabarti,Marketing Manager,83,Sales and Marketing,Director/Head,2.1,11.5,37,76,"Communication and Interpersonal Skills} , {Market Research and Analysis} , {Relationship Building and Networking} , {Sales Forecasting and Planning} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Strategic Thinking and Planning} , {Leadership and Mentoring} , {Creativity and Innovation} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Problem Solving and Decision Making} , {Social Media Marketing} , {Product/Service Positioning and Branding} , {Teamwork and Collaboration} , {Adaptability and Flexibility} , {Sales Funnel Management} , {Advertising and Promotions",259000
Damayanti Kashyap,Corporate Counsel,81,Legal and Compliance,Director/Head,1.69,14.6,43,84,"Mergers and Acquisitions} , {Legal Writing and Documentation} , {Legal Research and Analysis} , {Time Management and Organization} , {Analytical and Critical Thinking} , {Litigation and Dispute Resolution} , {Regulatory Compliance} , {Attention to Detail} , {Data Privacy and Protection} , {Contract Drafting and Review} , {Risk Assessment and Management} , {Teamwork and Collaboration} , {Communication and Negotiation Skills} , {Ethical Conduct and Professionalism} , {Continuous Learning and Staying Updated with Legal Developments} , {Problem Solving and Decision Making} , {Corporate Governance",192000
Adheesha Dhawan,Account Manager,80,Sales and Marketing,Director/Head,1.69,11.7,133,47,"Relationship Building and Networking} , {Sales Forecasting and Planning} , {Social Media Marketing} , {Market Research and Analysis} , {Creativity and Innovation} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Adaptability and Flexibility} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Time Management and Prioritization} , {Strategic Thinking and Planning} , {Leadership and Mentoring} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making} , {Communication and Interpersonal Skills",252000
Shalene Banerjee Dasgupta,Digital Marketer,83,Sales and Marketing,Manager/Supervisor,0.77,8.1,62,32,"Relationship Building and Networking} , {Sales Forecasting and Planning} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Strategic Thinking and Planning} , {Communication and Interpersonal Skills} , {Creativity and Innovation} , {Market Research and Analysis} , {Time Management and Prioritization} , {Leadership and Mentoring",125000
Aandaleeb Reddy Rao,Digital Marketer,91,Sales and Marketing,Manager/Supervisor,1.09,8.1,63,87,"Social Media Marketing} , {Sales Forecasting and Planning} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Adaptability and Flexibility} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Time Management and Prioritization} , {Market Research and Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making",134000
Apsara Singh Ahuja,Marketing Manager,85,Sales and Marketing,Manager/Supervisor,1.41,11.4,60,73,"Sales Forecasting and Planning} , {Social Media Marketing} , {Creativity and Innovation} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Digital Marketing and Analytics} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Strategic Thinking and Planning} , {Communication and Interpersonal Skills} , {Customer Relationship Management (CRM)} , {Market Research and Analysis} , {Advertising and Promotions} , {Leadership and Mentoring",238000
Farid Zacharia,Product Development Manager,93,Research and Development (R&D),Director/Head,1.73,13.5,136,48,"Communication and Presentation Skills} , {Quality Control and Assurance} , {Programming and Software Development} , {Strategic Thinking} , {Collaboration and Teamwork} , {Data Analysis and Interpretation} , {Statistical Analysis and Modeling} , {Leadership and Mentoring} , {Creativity and Innovation} , {Time Management and Prioritization} , {Adaptability and Flexibility} , {Experimental Design and Prototyping} , {Project Management} , {Analytical Skills} , {Intellectual Property Management",196000
Shaila Apte,Research Scientist,82,Research and Development (R&D),Director/Head,1.22,11.0,44,69,"Communication and Presentation Skills} , {Programming and Software Development} , {Collaboration and Teamwork} , {Adaptability and Flexibility} , {Experimental Design and Prototyping} , {Technical Writing and Documentation} , {Laboratory Techniques and Equipment} , {Critical Thinking and Problem Solving} , {Leadership and Mentoring} , {Creativity and Innovation} , {Time Management and Prioritization} , {Research Methodology and Design} , {Statistical Analysis and Modeling} , {Networking and Relationship Building} , {Analytical Skills} , {Intellectual Property Management",175000
Aatmadeva Khan Siddiqui,Employee Relations Specialist,83,Human Resources (HR),Director/Head,1.75,12.6,36,68,"Conflict Resolution and Mediation} , {Business Acumen and Strategic Thinking} , {Time Management and Organization} , {Problem Solving and Decision Making} , {Training and Development} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Ethical and Professional Conduct} , {Employee Engagement and Retention} , {HR Compliance and Legal Knowledge} , {Leadership and Team Management} , {HR Analytics and Reporting} , {Performance Management} , {Empathy and Emotional Intelligence} , {Adaptability and Flexibility} , {Employee Onboarding and Offboarding} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",185000
